"year","p_tb_adj","source","p_tb_inc"
0,0,"Borgdorff",0
0.5,0.266589183753008,"Borgdorff",0.266589183753008
1,0.397259886695144,"Borgdorff",0.130670702942136
1.5,0.4725199895831,"Borgdorff",0.0752601028879565
2,0.547780092471057,"Borgdorff",0.0752601028879566
2.5,0.588463129023474,"Borgdorff",0.0406830365524167
3,0.629146165575891,"Borgdorff",0.0406830365524168
3.5,0.654622094892603,"Borgdorff",0.0254759293167121
4,0.680098024209315,"Borgdorff",0.0254759293167122
4.5,0.70763950784888,"Borgdorff",0.0275414836395652
5,0.735180991488445,"Borgdorff",0.0275414836395651
5.5,0.753741507626912,"Borgdorff",0.0185605161384673
6,0.77230202376538,"Borgdorff",0.0185605161384673
6.5,0.78325105037031,"Borgdorff",0.0109490266049299
7,0.79420007697524,"Borgdorff",0.01094902660493
7.5,0.800310581429817,"Borgdorff",0.00611050445457717
8,0.806421085884394,"Borgdorff",0.00611050445457728
8.5,0.818061653718286,"Borgdorff",0.0116405678338914
9,0.829702221552177,"Borgdorff",0.0116405678338913
9.5,0.837193541567984,"Borgdorff",0.00749132001580755
10,0.844684861583792,"Borgdorff",0.00749132001580755
10.5,0.855633888188722,"Borgdorff",0.01094902660493
11,0.866582914793652,"Borgdorff",0.01094902660493
11.5,0.87061879511703,"Borgdorff",0.00403588032337754
12,0.874654675440407,"Borgdorff",0.00403588032337765
13,0.888630612510028,"Menzies",0.0139759370696209
14,0.893580583714305,"Menzies",0.00494997120427687
15,0.901440079977584,"Menzies",0.00785949626327898
16,0.905936618705133,"Menzies",0.00449653872754907
17,0.910368381364578,"Menzies",0.00443176265944523
18,0.914929696160231,"Menzies",0.00456131479565303
19,0.91999302548369,"Menzies",0.00506332932345865
20,0.923976303838276,"Menzies",0.00398327835458656
21,0.929175033137425,"Menzies",0.00519872929914811
22,0.934210022931088,"Menzies",0.00503498979366324
23,0.938938001151966,"Menzies",0.00472797822087867
24,0.941991370794022,"Menzies",0.00305336964205527
25,0.947743093059421,"Menzies",0.00575172226539966
26,0.952979894856648,"Menzies",0.00523680179722663
27,0.95821422441008,"Menzies",0.00523432955343206
28,0.96344608288684,"Menzies",0.00523185847676022
29,0.9686754714535,"Menzies",0.00522938856665989
30,0.97390239127608,"Menzies",0.00522691982258028
31,0.979126843520052,"Menzies",0.00522445224397117
32,0.984348829350334,"Menzies",0.00522198583028222
33,0.989568349931297,"Menzies",0.00521952058096342
34,0.994785406426762,"Menzies",0.005217056495465
35,1,"Menzies",0.00521459357323772
